ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22493,CL(18:1(9Z)/15:0cyclo/16:1(9Z)/18:1(9Z)),,,4.892e-05,0.04892± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22497,CL(18:1(9Z)/15:0cyclo/18:1(9Z)/18:1(9Z)),,,4.991e-05,0.04991± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22498,CL(18:1(9Z)/15:0cyclo/18:1(9Z)/19:0cycv8c),,,4.9619999999999996e-05,0.04962± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22499,CL(18:1(9Z)/15:0cyclo/18:1(9Z)/17:0cycw7c),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22500,CL(18:1(9Z)/15:0cyclo/18:1(9Z)/14:0),,,3.7789999999999996e-05,0.03779± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22501,CL(18:1(9Z)/15:0cyclo/19:0cycv8c/18:1(9Z)),,,4.9619999999999996e-05,0.04962± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22502,CL(18:1(9Z)/15:0cyclo/19:0cycv8c/19:0cycv8c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22505,CL(18:1(9Z)/15:0cyclo/17:0cycw7c/18:1(9Z)),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22507,CL(18:1(9Z)/15:0cyclo/17:0cycw7c/17:0cycw7c),,,4.1439999999999996e-05,0.04144± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22509,CL(18:1(9Z)/15:0cyclo/14:0/18:1(9Z)),,,3.7789999999999996e-05,0.03779± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22517,CL(18:1(9Z)/16:0/16:0/19:0cycv8c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22518,CL(18:1(9Z)/16:0/16:0/17:0cycw7c),,,4.1439999999999996e-05,0.04144± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22519,CL(18:1(9Z)/16:0/16:0/14:0),,,3.696e-05,0.03696± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22520,CL(18:1(9Z)/16:0/16:1(9Z)/18:1(9Z)),,,5.242e-05,0.05242± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22524,CL(18:1(9Z)/16:0/18:1(9Z)/18:1(9Z)),,,5.846e-05,0.05846± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22525,CL(18:1(9Z)/16:0/18:1(9Z)/19:0cycv8c),,,5.039e-05,0.05039± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22526,CL(18:1(9Z)/16:0/18:1(9Z)/17:0cycw7c),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22527,CL(18:1(9Z)/16:0/18:1(9Z)/14:0),,,3.9070000000000004e-05,0.03907± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
